nohup: 忽略输入
152974 356940
train num_classes 625
test num_classes 625

Epoch : 1
[progress:83.1%]time:8.22s Loss:0.77463 Correct:242450/296960 Acc:81.644%
[progress:86.0%]time:8.17s Loss:0.76217 Correct:250898/307200 Acc:81.673%
[progress:88.8%]time:8.16s Loss:0.76540 Correct:259340/317440 Acc:81.697%
[progress:91.7%]time:8.19s Loss:0.77030 Correct:267733/327680 Acc:81.706%
[progress:94.6%]time:8.21s Loss:0.74039 Correct:276212/337920 Acc:81.739%
[progress:97.4%]time:8.22s Loss:0.75348 Correct:284696/348160 Acc:81.772%
Testing ...
[progress:100.0%]time:45.10s Loss:0.87289 Correct:121946/152974 Acc:79.717%
Saving parameters to checkpoint/ckpt.t7
end

Epoch : 7
[progress:2.9%]time:8.97s Loss:0.85410 Correct:8201/10240 Acc:80.088%
[progress:5.7%]time:8.17s Loss:0.82915 Correct:16452/20480 Acc:80.332%
[progress:8.6%]time:8.17s Loss:0.76760 Correct:24878/30720 Acc:80.983%
[progress:11.5%]time:8.22s Loss:0.75923 Correct:33331/40960 Acc:81.375%
[progress:14.3%]time:8.17s Loss:0.72628 Correct:41856/51200 Acc:81.750%
[progress:17.2%]time:8.18s Loss:0.71507 Correct:50400/61440 Acc:82.031%
[progress:20.1%]time:8.18s Loss:0.75092 Correct:58837/71680 Acc:82.083%
[progress:22.9%]time:8.12s Loss:0.73055 Correct:67323/81920 Acc:82.181%
[progress:25.8%]time:8.19s Loss:0.73915 Correct:75825/92160 Acc:82.275%
[progress:28.7%]time:8.20s Loss:0.72831 Correct:84322/102400 Acc:82.346%
[progress:31.5%]time:8.14s Loss:0.72092 Correct:92861/112640 Acc:82.441%
[progress:34.4%]time:8.23s Loss:0.72506 Correct:101377/122880 Acc:82.501%
[progress:37.2%]time:8.17s Loss:0.70638 Correct:109911/133120 Acc:82.565%
[progress:40.1%]time:8.17s Loss:0.71764 Correct:118494/143360 Acc:82.655%
[progress:43.0%]time:8.21s Loss:0.71679 Correct:126997/153600 Acc:82.680%
[progress:45.8%]time:8.17s Loss:0.74340 Correct:135477/163840 Acc:82.689%
[progress:48.7%]time:8.19s Loss:0.70812 Correct:144009/174080 Acc:82.726%
[progress:51.6%]time:8.24s Loss:0.71891 Correct:152559/184320 Acc:82.769%
[progress:54.4%]time:8.16s Loss:0.71476 Correct:161163/194560 Acc:82.835%
[progress:57.3%]time:8.23s Loss:0.72146 Correct:169683/204800 Acc:82.853%
[progress:60.2%]time:8.14s Loss:0.73673 Correct:178189/215040 Acc:82.863%
[progress:63.0%]time:8.20s Loss:0.72951 Correct:186662/225280 Acc:82.858%
[progress:65.9%]time:8.20s Loss:0.70803 Correct:195212/235520 Acc:82.886%
[progress:68.8%]time:8.24s Loss:0.71765 Correct:203748/245760 Acc:82.905%
[progress:71.6%]time:8.20s Loss:0.72601 Correct:212267/256000 Acc:82.917%
[progress:74.5%]time:8.14s Loss:0.71678 Correct:220780/266240 Acc:82.925%
[progress:77.4%]time:8.19s Loss:0.71678 Correct:229313/276480 Acc:82.940%
[progress:80.2%]time:8.19s Loss:0.68464 Correct:237939/286720 Acc:82.987%
[progress:83.1%]time:8.23s Loss:0.70274 Correct:246492/296960 Acc:83.005%
[progress:86.0%]time:8.17s Loss:0.72216 Correct:255029/307200 Acc:83.017%
[progress:88.8%]time:8.17s Loss:0.71964 Correct:263622/317440 Acc:83.046%
[progress:91.7%]time:8.21s Loss:0.71394 Correct:272158/327680 Acc:83.056%
