nohup: 忽略输入
152974 356940
train num_classes 625
test num_classes 625
Loading from checkpoint/ckpt.t7

Epoch : 16
[progress:98.9%]time:7.98s Loss:0.82412 Correct:284037/353280 Acc:80.400%
Testing ...
[progress:100.0%]time:173.74s Loss:0.82080 Correct:123219/152974 Acc:80.549%
Saving parameters to checkpoint/ckpt.t7
end

Epoch : 19
[progress:1.4%]time:7.99s Loss:0.87254 Correct:4060/5120 Acc:79.297%
[progress:2.9%]time:7.89s Loss:0.85676 Correct:8146/10240 Acc:79.551%
[progress:4.3%]time:8.01s Loss:0.83437 Correct:12255/15360 Acc:79.785%
[progress:5.7%]time:7.97s Loss:0.85395 Correct:16375/20480 Acc:79.956%
[progress:7.2%]time:7.95s Loss:0.80604 Correct:20526/25600 Acc:80.180%
[progress:8.6%]time:7.96s Loss:0.85573 Correct:24602/30720 Acc:80.085%
[progress:10.0%]time:8.02s Loss:0.82744 Correct:28721/35840 Acc:80.137%
[progress:11.5%]time:7.83s Loss:0.82269 Correct:32838/40960 Acc:80.171%
[progress:12.9%]time:8.04s Loss:0.79050 Correct:37047/46080 Acc:80.397%
[progress:14.3%]time:7.90s Loss:0.82316 Correct:41151/51200 Acc:80.373%
[progress:15.8%]time:8.00s Loss:0.82507 Correct:45266/56320 Acc:80.373%
[progress:17.2%]time:7.98s Loss:0.79521 Correct:49460/61440 Acc:80.501%
[progress:18.6%]time:8.01s Loss:0.81433 Correct:53661/66560 Acc:80.620%
[progress:20.1%]time:7.92s Loss:0.80422 Correct:57820/71680 Acc:80.664%
[progress:21.5%]time:8.00s Loss:0.78017 Correct:62000/76800 Acc:80.729%
[progress:22.9%]time:8.07s Loss:0.82297 Correct:66152/81920 Acc:80.752%
[progress:24.4%]time:7.94s Loss:0.81991 Correct:70335/87040 Acc:80.808%
[progress:25.8%]time:8.00s Loss:0.80705 Correct:74498/92160 Acc:80.836%
[progress:27.2%]time:8.04s Loss:0.84792 Correct:78604/97280 Acc:80.802%
[progress:28.7%]time:7.98s Loss:0.88001 Correct:82683/102400 Acc:80.745%
[progress:30.1%]time:8.08s Loss:0.85453 Correct:86777/107520 Acc:80.708%
[progress:31.5%]time:8.04s Loss:0.86321 Correct:90894/112640 Acc:80.694%
[progress:33.0%]time:8.04s Loss:0.86639 Correct:94993/117760 Acc:80.667%
[progress:34.4%]time:8.01s Loss:0.87889 Correct:99088/122880 Acc:80.638%
[progress:35.8%]time:7.98s Loss:0.80715 Correct:103189/128000 Acc:80.616%
[progress:37.3%]time:8.02s Loss:0.85021 Correct:107287/133120 Acc:80.594%
[progress:38.7%]time:8.30s Loss:0.84681 Correct:111419/138240 Acc:80.598%
[progress:40.1%]time:8.24s Loss:0.84213 Correct:115541/143360 Acc:80.595%
