nohup: 忽略输入
152974 356940
train num_classes 625
test num_classes 625

Epoch : 1
[progress:74.5%]time:8.26s Loss:0.74424 Correct:216964/266240 Acc:81.492%
[progress:77.4%]time:8.28s Loss:0.73925 Correct:225450/276480 Acc:81.543%
[progress:80.2%]time:8.24s Loss:0.77944 Correct:233845/286720 Acc:81.559%
[progress:83.1%]time:8.26s Loss:0.76004 Correct:242302/296960 Acc:81.594%
[progress:86.0%]time:8.27s Loss:0.75192 Correct:250758/307200 Acc:81.627%
[progress:88.8%]time:8.21s Loss:0.74899 Correct:259191/317440 Acc:81.650%
[progress:91.7%]time:8.25s Loss:0.83807 Correct:267458/327680 Acc:81.622%
[progress:94.6%]time:8.33s Loss:0.77940 Correct:275851/337920 Acc:81.632%
[progress:97.4%]time:8.20s Loss:0.74900 Correct:284343/348160 Acc:81.670%
Testing ...
[progress:100.0%]time:45.62s Loss:1.43099 Correct:104308/152974 Acc:68.187%
end

Epoch : 7
[progress:2.9%]time:9.11s Loss:0.87859 Correct:8139/10240 Acc:79.482%
[progress:5.7%]time:8.20s Loss:0.78548 Correct:16502/20480 Acc:80.576%
[progress:8.6%]time:8.20s Loss:0.78700 Correct:24866/30720 Acc:80.944%
[progress:11.5%]time:8.18s Loss:0.75828 Correct:33310/40960 Acc:81.323%
[progress:14.3%]time:8.26s Loss:0.74315 Correct:41778/51200 Acc:81.598%
[progress:17.2%]time:8.19s Loss:0.72711 Correct:50289/61440 Acc:81.851%
[progress:20.1%]time:8.33s Loss:0.74821 Correct:58758/71680 Acc:81.973%
[progress:22.9%]time:8.21s Loss:0.77309 Correct:67145/81920 Acc:81.964%
[progress:25.8%]time:8.19s Loss:0.74048 Correct:75643/92160 Acc:82.078%
[progress:28.7%]time:8.24s Loss:0.72115 Correct:84175/102400 Acc:82.202%
[progress:31.5%]time:8.24s Loss:0.72095 Correct:92703/112640 Acc:82.300%
[progress:34.4%]time:8.29s Loss:0.72638 Correct:101242/122880 Acc:82.391%
[progress:37.2%]time:8.25s Loss:0.71730 Correct:109779/133120 Acc:82.466%
[progress:40.1%]time:8.21s Loss:0.75806 Correct:118222/143360 Acc:82.465%
[progress:43.0%]time:8.18s Loss:0.69738 Correct:126814/153600 Acc:82.561%
[progress:45.8%]time:8.19s Loss:0.71617 Correct:135346/163840 Acc:82.609%
[progress:48.7%]time:8.27s Loss:0.70503 Correct:143933/174080 Acc:82.682%
[progress:51.6%]time:8.29s Loss:0.70664 Correct:152463/184320 Acc:82.716%
[progress:54.4%]time:8.17s Loss:0.73478 Correct:161003/194560 Acc:82.752%
[progress:57.3%]time:8.25s Loss:0.74262 Correct:169491/204800 Acc:82.759%
[progress:60.2%]time:8.28s Loss:0.76794 Correct:177977/215040 Acc:82.765%
[progress:63.0%]time:8.26s Loss:0.71317 Correct:186568/225280 Acc:82.816%
[progress:65.9%]time:8.19s Loss:0.72772 Correct:195093/235520 Acc:82.835%
[progress:68.8%]time:8.28s Loss:0.73085 Correct:203603/245760 Acc:82.846%
[progress:71.6%]time:8.19s Loss:0.73647 Correct:212132/256000 Acc:82.864%
[progress:74.5%]time:8.17s Loss:0.72409 Correct:220667/266240 Acc:82.883%
[progress:77.4%]time:8.26s Loss:0.73494 Correct:229140/276480 Acc:82.878%
[progress:80.2%]time:8.26s Loss:0.73556 Correct:237661/286720 Acc:82.890%
[progress:83.1%]time:8.22s Loss:0.74138 Correct:246181/296960 Acc:82.900%
[progress:86.0%]time:8.24s Loss:0.73376 Correct:254647/307200 Acc:82.893%
[progress:88.8%]time:8.23s Loss:0.70838 Correct:263197/317440 Acc:82.912%
[progress:91.7%]time:8.22s Loss:0.69375 Correct:271805/327680 Acc:82.948%
[progress:94.6%]time:8.26s Loss:0.71285 Correct:280358/337920 Acc:82.966%
[progress:97.4%]time:8.21s Loss:0.69183 Correct:288995/348160 Acc:83.006%
Testing ...
[progress:100.0%]time:45.44s Loss:0.70116 Correct:127640/152974 Acc:83.439%
Saving parameters to checkpoint/ckpt.t7
end

Epoch : 8
[progress:2.9%]time:9.18s Loss:0.83529 Correct:8199/10240 Acc:80.068%
[progress:5.7%]time:8.21s Loss:0.77278 Correct:16609/20480 Acc:81.099%
[progress:8.6%]time:8.20s Loss:0.71271 Correct:25181/30720 Acc:81.969%
[progress:11.5%]time:8.19s Loss:0.68770 Correct:33740/40960 Acc:82.373%
[progress:14.3%]time:8.20s Loss:0.71234 Correct:42271/51200 Acc:82.561%
[progress:17.2%]time:8.21s Loss:0.72182 Correct:50805/61440 Acc:82.690%
[progress:20.1%]time:8.15s Loss:0.72225 Correct:59361/71680 Acc:82.814%
[progress:22.9%]time:8.21s Loss:0.72697 Correct:67911/81920 Acc:82.899%
[progress:25.8%]time:8.25s Loss:0.66365 Correct:76576/92160 Acc:83.090%
[progress:28.7%]time:8.27s Loss:0.71443 Correct:85070/102400 Acc:83.076%
[progress:31.5%]time:8.26s Loss:0.70680 Correct:93588/112640 Acc:83.086%
[progress:34.4%]time:8.20s Loss:0.70385 Correct:102165/122880 Acc:83.142%
[progress:37.2%]time:8.29s Loss:0.72235 Correct:110657/133120 Acc:83.126%
[progress:40.1%]time:8.29s Loss:0.71192 Correct:119190/143360 Acc:83.140%
[progress:43.0%]time:8.19s Loss:0.69052 Correct:127777/153600 Acc:83.188%
[progress:45.8%]time:8.19s Loss:0.68602 Correct:136369/163840 Acc:83.233%
[progress:48.7%]time:8.19s Loss:0.70641 Correct:144971/174080 Acc:83.278%
[progress:51.6%]time:8.25s Loss:0.68362 Correct:153615/184320 Acc:83.341%
[progress:54.4%]time:8.24s Loss:0.70465 Correct:162181/194560 Acc:83.358%
[progress:57.3%]time:8.29s Loss:0.65259 Correct:170882/204800 Acc:83.438%
[progress:60.2%]time:8.21s Loss:0.68448 Correct:179499/215040 Acc:83.472%
[progress:63.0%]time:8.19s Loss:0.67760 Correct:188135/225280 Acc:83.512%
[progress:65.9%]time:8.24s Loss:0.68732 Correct:196761/235520 Acc:83.543%
[progress:68.8%]time:8.25s Loss:0.67211 Correct:205411/245760 Acc:83.582%
[progress:71.6%]time:8.28s Loss:0.65746 Correct:214064/256000 Acc:83.619%
[progress:74.5%]time:8.21s Loss:0.67215 Correct:222707/266240 Acc:83.649%
[progress:77.4%]time:8.24s Loss:0.70567 Correct:231237/276480 Acc:83.636%
[progress:80.2%]time:8.27s Loss:0.69430 Correct:239832/286720 Acc:83.647%
[progress:83.1%]time:8.23s Loss:0.66888 Correct:248488/296960 Acc:83.677%
[progress:86.0%]time:8.28s Loss:0.70107 Correct:257075/307200 Acc:83.683%
[progress:88.8%]time:8.20s Loss:0.69410 Correct:265703/317440 Acc:83.702%
[progress:91.7%]time:8.29s Loss:0.65931 Correct:274401/327680 Acc:83.741%
[progress:94.6%]time:8.24s Loss:0.67552 Correct:283014/337920 Acc:83.752%
[progress:97.4%]time:8.24s Loss:0.68956 Correct:291647/348160 Acc:83.768%
Testing ...
[progress:100.0%]time:45.70s Loss:1.25006 Correct:111277/152974 Acc:72.742%
end

Epoch : 9
